year,model,price,mileage,color,transmission
2011,SEL,21992,7413,Yellow,AUTO
2011,SEL,20995,10926,Gray,AUTO
2011,SEL,19995,7351,Silver,AUTO
2011,SEL,17809,11613,Gray,AUTO
2012,SE,17500,8367,White,AUTO
2010,SEL,17495,25125,Silver,AUTO
2011,SEL,17000,27393,Blue,AUTO
2010,SEL,16995,21026,Silver,AUTO
2011,SES,16995,32655,Silver,AUTO
2010,SES,16995,36116,Silver,AUTO
2010,SES,16995,40539,Black,AUTO
2011,SES,16992,9199,Silver,AUTO
2011,SEL,16950,9388,Green,AUTO
2010,SES,16950,32058,Red,AUTO
2011,SE,16000,15367,White,AUTO
2011,SES,15999,16368,Blue,AUTO
2010,SEL,15999,19926,Silver,AUTO
2010,SES,15995,36049,Silver,AUTO
2011,SEL,15992,11662,Blue,AUTO
2011,SEL,15992,32069,Silver,AUTO
2010,SES,15988,16035,Silver,MANUAL
2010,SEL,15980,39943,White,AUTO
2011,SE,15899,36685,Silver,AUTO
2010,SEL,15889,24920,Black,AUTO
2009,SEL,15688,20019,Blue,AUTO
2010,SE,15500,29338,Blue,AUTO
2010,SE,15499,7784,Black,AUTO
2010,SE,15499,35636,Black,AUTO
2010,SES,15298,22029,Gray,AUTO
2009,SEL,14999,33107,Silver,AUTO
2010,SES,14999,36306,Red,AUTO
2009,SE,14995,34419,Black,MANUAL
2011,SE,14992,4867,Black,AUTO
2011,SEL,14992,18948,Black,AUTO
2009,SES,14992,24030,Red,AUTO
2010,SEL,14990,33036,Black,AUTO
2011,SE,14989,23967,White,AUTO
2010,SE,14906,37905,Silver,AUTO
2010,SE,14900,28955,White,AUTO
2010,SE,14893,11165,White,AUTO
2010,SES,14761,44813,Black,AUTO
2010,SES,14699,36469,Gray,AUTO
2010,SES,14677,22143,Black,MANUAL
2009,SES,14549,34046,Silver,AUTO
2010,SE,14499,32703,Red,AUTO
2010,SES,14495,35894,Silver,AUTO
2010,SE,14495,38275,Black,AUTO
2010,SE,14480,24855,Blue,AUTO
2009,SEL,14477,29501,Gray,MANUAL
2009,SEL,14355,35394,Red,AUTO
